title,author,edition,reviews,ratings,synopsis,genre,bookcategory
"Death Note Black Edition, Vol. 4",Tsugumi Ohba,"Paperback,– 5 Jul 2011",5.0 out of 5 stars,1 customer review,"Killer 2-for-1 value on hit thriller Death Note!

Reads R to L (Japanese Style), for audiences T+
Contains Volumes 7 and 8 of Death Note! Light Yagami is an ace student with great prospects--and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Note to rid the world of evil. Will Light's noble goal succeed, or will the Death Note turn him into the very thing he fights against?",Mangas,Politics
"5 Language Visual Dictionary: English, French, German, Spanish, Italian (Dictionaries)",DK,"Hardcover,– 1 Sep 2016",4.0 out of 5 stars,4 customer reviews,"The Five Language Visual Dictionary puts the perfect English, French, German, Spanish or Italian translation at your fingertips.
Fully revised and updated, This illustrated dictionary is organised into 15 different themes, including eating out, work, transport and entertainment, giving you quick and easy access to the word you need. Including over 10,000 terms labelled in English, French, German, Spanish and Italian, plus feature panels which list essential abstract nouns, verbs and useful phrases.
Offering the most user-friendly and intuitive reference for language learning, the Five Language Visual Dictionary makes it simple to learn and retain important vocabulary.
Previous edition ISBN 9780751336818",Dictionaries,"Language, Linguistics & Writing"
South by Java Head,Alistair MacLean,"Paperback,– Special Edition, 6 May 2008",4.4 out of 5 stars,7 customer reviews,"The 50th anniversary edition of this classic World War 2 adventure set in south-east Asia.
February, 1942: Singapore lies burning and shattered, defenceless before the conquering hordes of the Japanese Army, as the last boat slips out of the harbour into the South China Sea. On board are a desperate group of people, each with a secret to guard, each willing to kill to keep that secret safe.
Who or what is the dissolute Englishman, Farnholme? The elegant Dutch planter, Van Effen? The strangely beautiful Eurasian girl, Gudrun? The slave trader, Siran? The smiling and silent Nicholson who is never without his gun? Only one thing is certain: the rotting tramp steamer is a floating death trap, carrying a cargo of human TNT.
Dawn sees them far out to sea but with the first murderous dive bombers already aimed at their ship. Thus begins an ordeal few are to survive, a nightmare succession of disasters wrought by the hell-bent Japanese, the unrelenting tropical sun and by the survivors themselves, whose hatred and bitterness divides them one against the other.
Written after the acclaimed and phenomenally successful HMS Ulysses and The Guns of Navarone, this was MacLean’s third book, and it contains all the hallmarks of those other two classics. Rich with stunning visual imagery, muscular narrative power, brutality, courage and breathtaking excitement, the celebration of the 50th anniversary of South by Java Head offers readers a long-denied chance to enjoy one of the greatest war novels ever written.",Action & Adventure (Books),"Crime, Thriller & Mystery"
Batman Eternal Vol. 2 (The New 52) (Batman Eternal: The New 52!),"Scott Snyder, Tim Seeley, Jason Fabok","Paperback,– 14 Jul 2015",5.0 out of 5 stars,4 customer reviews,"A New York Times bestseller!

The only one thing more terrifying than the madness currently gripping Gotham City is the method behind it.
 
Gang wars. Viral outbreaks. Riots. Hauntings. Terrorist strikes. Batman and his army of allies have battled them all one by one, taking casualties at every turn.
 
And in the eye of this vortex of chaos stands one man. His face is wrapped in darkness. His name is spoken only in whispers.
 
He is Hush. And he is the Dark Knight’s darkest nightmare.
 
Once Bruce Wayne’s best friend, this maniacal mastermind is out to prove that he is the Batman’s better in every way. To do it, he will burn Gotham City to the ground and crown himself king of the ashes.
 
Distrust and disaster have torn them apart, but now Batman and his family of crimefighters must join closer than they ever have before. Only then can they stop Hush from sinking the city into the silence of the grave…
 
Superstar BATMAN writer Scott Snyder leads an all-star team of creators — including James Tynion IV, Ray Fawkes, Kyle Higgins, Tim Seeley, Jason Fabok, Fernando Pasarin, R.M. Guéra, and more — in BATMAN ETERNAL VOL. 2, the second landmark chapter in the unprecedented weekly Batman series! Collects issues #22-34.",Science & Mathematics,Humour
The Little Book of More Calm Colouring: Portable Relaxation (Colouring Book),David Sinden,"Paperback,– 14 Jan 2016",4.5 out of 5 stars,15 customer reviews,"Eliminate stress and feel calm again with The Little Book of More Calm Colouring, a perfectly formed antidote to a busy life. From David Sinden and Victoria Kay, the creators of the bestselling The Little Book of Calm Colouring, this pocket-sized book is filled with more soothing, hand-illustrated artworks to colour in. Take a short relaxing breather from your day to colour the calming images and feel inspired by the poignant quotations that accompany each elegant artwork.","Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography"
The Lazy Girl's Guide to Being Fit,Namrata Purohit,"Paperback,– 20 Jul 2015",3.2 out of 5 stars,20 customer reviews,"Most of us want to be fit and healthy, but get stuck in a rut—we just don’t have the will power to get up and move. What is the incentive for you to get off that couch and work out when you have all three seasons of Game of Thrones waiting for you? Almost everyone wants to be fit, but they just can’t muster up the effort to do so. If you are like them, then this book is for you.
The Lazy Girl’s Guide to Being Fit is about the first few steps you need to take to go from a sedentary lifestyle to an active one, because that’s the biggest challenge for a couch potato—movement! It’s all about finding the balance in your life. This book will show you how exercise can take the guise of several daily activities—be it shopping or going on a picnic—and how eating right can solve half your problems. The easy and effective exercise routines contained here will get you fit in no time. The body can be beautiful if you know how to put it to use and have fun doing so. And this is exactly what this book will show you.",Healthy Living & Wellness (Books),"Biographies, Diaries & True Accounts"
Illusions : The Adventures of a Reluctant Messiah,Richard Bach,"Paperback,– 12 Mar 2001",4.6 out of 5 stars,39 customer reviews,"In the cloud-washed airspace between the cornfields of Illinois and blue infinity, a man puts his faith in the propeller of his biplane. For disillusioned writer and itinerant barnstormer Richard Bach, belief is as real as a full tank of gas and sparks firing in the cylinders ... until he meets Donald Shimoda - former mechanic and self-described messiah who can make wrenches fly and Richard's imagination soar...

In Illusions, the unforgettable follow-up to his phenomenal New York Times bestseller Jonathan Livingston Seagull, Richard Bach takes to the air to discover the ageless truths that give our souls wings: that people don't need airplanes to soar ... that even the darkest clouds have meaning once we lift ourselves above them ... and that messiahs can be found in the unlikeliest places - like hay fields, one-traffic-light midwestern towns, and most of all, deep within ourselves.",Religious & Spiritual Fiction (Books),"Biographies, Diaries & True Accounts"
The Logic of English Words,Logophilia Education,"Paperback,– Import, 29 May 2018",5.0 out of 5 stars,6 customer reviews,"Logophilia Education (estd. August, 2010) is the first and only Etymology Education organisation in the world. We're passionate in our belief that a strong and sophisticated vocabulary is the most essential skill that students should possess. Why? Anything you study is written in words. All subjects have their own terminology. Without a strong understanding of English words you will never really study well, and will end up finding shortcuts to learning (e.g. rote-memorising, using mnemonics, and so forth).
Logophilia, therefore, teaches the structure of English words with the intent of getting students to become very strong in vocabulary, and dictionary-independent. This method of teaching, done through Logophilia's unique paedagogy, is called Etymology Education.
We promote Etymology awareness as a life skill, and aim to get it into mainstream school curricula worldwide, thereby simplifying and sophisticating language comprehension for everyone. We teach (experiential vocabulary programmes), quiz (the Logo+philia(TM) Gala Olympiad), & write (books, blogs, apps, and vocabulary-learning aids), to help you see the logic of English words.",Vocabulary Books,"Language, Linguistics & Writing"
HBR's 10 Must Reads: On Innovation (Harvard Business Review Must Reads),HBR,"Paperback,– 12 Mar 2013",3.4 out of 5 stars,4 customer reviews,"NEW from the bestselling HBR's 10 Must Reads series. To innovate profitably, you need more than just creativity. Do you have what it takes? If you read nothing else on inspiring and executing innovation, read these 10 articles. We've combed through hundreds of articles in the Harvard Business Review archive and selected the most important ones to help you innovate effectively. Leading experts such as Clayton Christensen, Peter Drucker, and Rosabeth Moss Kanter provide the insights and advice you need to: * Decide which ideas are worth pursuing * Innovate through the front lines--not just from the top * Adapt innovations from the developing world to wealthier markets * Tweak new ventures along the way using discovery-driven planning * Tailor your efforts to meet customers' most pressing needs * Avoid classic pitfalls such as stifling innovation with rigid processes Looking for more Must Read articles from Harvard Business Review? Check out these titles in the popular series: HBR's 10 Must Reads: The Essentials HBR's 10 Must Reads on Communication HBR's 10 Must Reads on Collaboration HBR's 10 Must Reads on Leadership HBR's 10 Must Reads on Making Smart Decisions HBR's 10 Must Reads on Managing Yourself HBR's 10 Must Reads on Strategic Marketing HBR's 10 Must Reads on Teams",Sports (Books),Sports
Khaiye Aur Vajan Ghataiye,Rujuta Diwekar,"Paperback,– 13 Feb 2014",3.9 out of 5 stars,62 customer reviews,"This is translated from bestselling English book Don't Lose Your Mind, Lose Your Weight written by Rujuta Diwekar.
‘Rujuta has not just changed my body but also my mind and soul. She is the best thing to have happened to my life!’ Kareena Kapoor
Want to know how Kareena Kapoor managed to achieve the perfect figure? Let Rujuta Diwekar tell you how. India’s top celebrity fitness guru has worked with the who’s who of Bollywood including Kareena, Karishma, Saif, Lisa and Sonali. Now she lets you in on her secret―you can eat anything you want just as long as you plan for it. No crash dieting, no carb deprivation, no unbidden cravings. Rujuta teaches you the three simple steps to dieting heaven: learn about your body, create the right plan for it, and slowly adjust your food habits. What’s more, she even lets you in on Bebo’s secret, in a special chapter on how exactly our favourite heroine got that phenomenally fit bikini bod for Tashan.
So whether you’re apple or pear-shaped, soon you’ll be eating all you want―including those irresistible parathas―and still shedding those kilos. Don’t Lose Your Mind, Lose Your Weight is the ultimate diet for daily life. It’s worked for the stars―now make it work for you.",Indian Writing (Books),"Biographies, Diaries & True Accounts"
"Thrills, Skills and Molehills: The Beautiful Game?",ChrisMD,"Flexibound,– Import, 2018",5.0 out of 5 stars,1 customer review,"What makes the ultimate Sunday League footballer? YouTube star ChrisMD has turned amateur Sunday afternoon kick-arounds into a social media event - and now, for the first time, he's sharing all of his secrets. Join Chris as he reveals the characters, training tricks and top-level dietary regime (greasy sausage roll from the village café) that has got him where he is today. Chris's debut book also includes behind-the-scenes photos from his life as a YouTuber, plus his proudest moments, biggest embarrassments and favourite memories from his years of making videos with everyone from the Sidemen to his own family. Includes links to exclusive, never-before-seen ChrisMD videos.","Children's Games, Toys & Activities (Books)",Sports
Still William (Just William series),Richmal Crompton,"Paperback,– Import, 14 Jan 2016",4.8 out of 5 stars,6 customer reviews,"Everyone's favourite troublemaker is still up to mischief! William's natural desire to do the right thing leads him into serious trouble, as usual, and when blackmail and kidnapping are involved, it's no surprise. Even when he turns over a new leaf, the consequences are dire. But it's his new neighbour, Violet Elizabeth Bott, who really causes chaos – and no one will believe that it's not William's fault . . . Richmal Crompton's Still William is a collection of fourteen brilliant Just William stories with an introduction by Sir Tony Robinson, appealing contemporary cover art by Chris Judge, along with the original inside illustrations by Thomas Henry. There is only one William. This tousle-headed, snub-nosed, hearty, lovable imp of mischief has been harassing his unfortunate family and delighting his hundreds of thousands of admirers since 1922. Enjoy more of William's adventures in William the Conqueror and William in Trouble.",Action & Adventure (Books),Action & Adventure
I Wrote This for You,Iain S. Thomas,"Paperback,– Import, 2 Oct 2018",3.5 out of 5 stars,5 customer reviews,"""I need you to understand something. I wrote this for you. I wrote this for you and only you. Everyone else who reads it, doesn't get it.""

Started 2007, I Wrote This For You is an acclaimed exploration of hauntingly beautiful words, photography and emotion that's unique to each person who reads it. This book gathers together nearly 200 of the most beautiful entries into four distinct chapters; Sun, Moon, Stars, Rain. Together with several new and exclusive poems that don't appear anywhere else, each chapter of I Wrote This For You focuses on a different facet of life, love, loss, beginnings and endings.",Action & Adventure (Books),Action & Adventure
IELTS Practice Tests: With Explanatory Key And CD Pack,Peter May,"Paperback,– Jan 2011",3.3 out of 5 stars,7 customer reviews,"International English Language Testing System or IELTS is an English proficiency test for students preparing to apply for undergraduate and graduate studies. It is especially important for international students. IELTS Practice Tests: with Explanatory Key and Audio CD by Peter May is a book consisting of essential practice material for the IELTS examination. Along with reading and writing manuals for improving your writing skills and pronunciations, the book also has several key concepts and tips to answer tricky questions.
IELTS Practice Tests puts an emphasis on the strategy that lies behind answering select problems, it goes on to describe the correct approach to completing each section of the test. This book focusses on improving the ability of the students to identify errors and be quick with their choices in every task set out in front of them.
With detailed explanatory keys providing sample answers to the academic writing tests, students get additional assistance in form of audio scripts and two discs. IELTS Practice Tests also contains four practice tests with sections on reading and writing. The answer sheets in the book are printable for easier usage.
IELTS Practice Tests: with Explanatory Key and Audio CD was published by OUP Oxford in 2004 and is available in paperback.
Key Features:
The book comes with an Audio CD containing listening material for the four practice tests.
It provides an access to an online practice test link with automatic marking and an online dictionary lookup.",Linguistics (Books),"Language, Linguistics & Writing"
Flash Boys,Michael Lewis,"Paperback,– 28 May 2015",4.2 out of 5 stars,53 customer reviews,"Nowadays, the world's money is traded by computer code, inside black boxes in heavily guarded buildings. Even the experts entrusted with your cash don't know what's happening to it. In Flash Boys, Michael Lewis tells the explosive story of how one group of ingenious oddballs and misfits set out to expose what was going on. It's the story of what it's like to declare war on some of the richest and most powerful people in the world. It's about taking on an entire system. And it's about the madness that has taken hold of the financial markets today.",Investments & Securities,Politics
"The Adventures of Blake and Mortimer: Mystery of the Great Pyramid, Part 2 v. 3 (The Adventures of Blake & Mortimer)",Edgar P. Jacobs,"Paperback,– Illustrated, 3 Jan 2008",3.7 out of 5 stars,3 customer reviews,"Captain Blake seems to have lost the first round in Part 1, having been assassinated at Athens airport. But a furious Mortimer swears that he'll never stop trying to avenge his friend. He goes on the hunt, but information is scarce. Strange happening occur when he comes under the protection of Sheik Abdel Razek and Mortimer soon feels like he's losing his way in his investigation which will lead him to the darkest depths of the Great Pyramid...",Children's Historical Fiction (Books),Comics & Mangas
Cradle to Cradle (Patterns of Life),Michael Braungart,"Paperback,– 29 Jan 2009",4.0 out of 5 stars,2 customer reviews,"Recycling is good, isn’t it?

In this visionary book, chemist Michael Braungart and architect William McDonough challenge this status quo and put forward a manifesto for an intriguing and radically different philosophy of environmentalism.

""Reduce, reuse, recycle”. This is the standard “cradle to grave” manufacturing model dating back to the Industrial Revolution that we still follow today. In this thought-provoking read, the authors propose that instead of minimising waste, we should be striving to create value. This is the essence of Cradle to Cradle: waste need not to exist at all. By providing a framework of redesign of everything from carpets to corporate campuses, McDonough and Braungart make a revolutionary yet viable case for change and for remaking the way we make things.",Sustainable Development,"Arts, Film & Photography"
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Paperback,– 28 Aug 2018",4.8 out of 5 stars,77 customer reviews,"'I couldn’t put down this thriller . . . the perfect book to read by the fire this winter.' Bill Gates, '5 books I loved in 2018' WINNER OF THE FINANCIAL TIMES/MCKINSEY BUSINESS BOOK OF THE YEAR AWARD 2018 The full inside story of the breathtaking rise and shocking collapse of Theranos, the multibillion-dollar biotech startup, by the prize-winning journalist who first broke the story and pursued it to the end, despite pressure from its charismatic CEO and threats by her lawyers. In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the female Steve Jobs: a brilliant Stanford dropout whose startup ""unicorn"" promised to revolutionize the medical industry with a machine that would make blood testing significantly faster and easier. Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes's worth at an estimated $4.7 billion. There was just one problem: The technology didn't work. In Bad Blood, John Carreyrou tells the riveting story of the biggest corporate fraud since Enron, a tale of ambition and hubris set amid the bold promises of Silicon Valley. Now to be adapted into a film, with Jennifer Lawrence to star. 'Chilling . . . Reads like a West Coast version of All the President’s Men.' New York Times Book Review",Biotechnology Engineering Textbooks,"Biographies, Diaries & True Accounts"
Refreshing Mandala - Colouring Book for Adults Book 4,Dreamland Publications,"Paperback,– 2017",4.3 out of 5 stars,16 customer reviews,"Mandala is a symbol made from circles, squares or triangles that represents the cosmos. Colouring is the best calming tool that unleash your inner creativity. The Mandala Colouring Book invites you to relax, find tranquility and balance in your life as you fill in colours on each page of this book with your own creative essence.","Handicrafts, Decorative Arts & Crafts (Books)","Arts, Film & Photography"
internet of Things: A Hands-On Approach,"Arsheep Bahga, Vijay Madisetti","Paperback,– 2015",4.5 out of 5 stars,35 customer reviews,"This book is written as a textbook for educational programs at colleges and universities. It can also be used by IoT (Internet of Things) vendors and service providers for training their program developers. The authors have used an immersive 'hands on' approach, similar to the one adopted in the companion book, Cloud Computing: A Hands-on Approach, to help readers gain expertise in developing working code for real-world IoT applications.","Computing, Internet & Digital Media (Books)","Computing, Internet & Digital Media"
A Time To Kill,John Grisham,"Paperback,– 3 Dec 1992",4.2 out of 5 stars,37 customer reviews,"A Time To Kill is available in paperback. The book has 672 pages. The language of the book is English, and the author of the book is John Grisham.
A ten-year old African American girl is brutally raped and beaten by two white racist drunken men. Inspite of committing such a heinous crime, the perpetrators remain unrepentant. This horrendous act unleashes mayhem in the town of Clayton, Mississippi where the story is set.
Carl Lee, the father of the wronged girl, is driven into a mad rage and decides to take the law in his hands in order to bring justice to his daughter. Armed with an assault rifle, he sets out to avenge the gruesome crime committed on his daughter and kills the culprits. He is arrested and is to be tried for capital murder.
This is a moving tale about a young defence lawyer, Jake Brigance, who decides to defend the black Vietnam war hero. The people of the town are divided in their opinion about the the crime committed by Carl. The book takes you through a journey of the lawyer’s struggle to save his client. Also at stake is the young attorney’s life. The novel was published in the year 1992 by RHUK.
Key Features:
The book sensitively explores the relationship between black and whites. It is a legal suspense thriller and keeps you on an edge at all times.",Action & Adventure (Books),Action & Adventure
